BuildingID,BuildingName,CurrentLevel,NextLevel,RequiredItem1ID,RequiredItem1Count,RequiredItem2ID,RequiredItem2Count,RequiredItem3ID,RequiredItem3Count,RequiredGold,UpgradeTimeSec
1001,목재소,1,2,1001,10,1002,5,,,100,60
1001,목재소,2,3,1001,20,1002,10,1003,5,300,180
1001,목재소,3,4,1001,40,1002,20,1003,15,800,360
1001,목재소,4,5,1001,80,1003,30,1004,5,2000,720
1002,채석장,1,2,1002,10,1001,5,,,100,60
1002,채석장,2,3,1002,20,1001,10,1003,5,300,180
1002,채석장,3,4,1002,40,1001,20,1003,15,800,360
1002,채석장,4,5,1002,80,1003,30,1004,5,2000,720
1003,대장간,1,2,1001,15,1003,10,,,200,120
1003,대장간,2,3,1001,30,1003,20,1004,5,500,300
1003,대장간,3,4,1003,20,1004,15,1005,5,1200,600
1003,대장간,4,5,1004,30,1005,10,1006,3,3500,1200
1004,마법탑,1,2,1001,20,1002,15,1005,3,500,180
1004,마법탑,2,3,1003,15,1005,8,1006,3,1500,420
1004,마법탑,3,4,1004,20,1005,15,1006,8,4000,900
1004,마법탑,4,5,1004,40,1005,30,1006,15,10000,1800
1005,창고,1,2,1001,20,1002,10,,,150,90
1005,창고,2,3,1001,40,1002,20,1003,10,400,240
1005,창고,3,4,1003,20,1004,10,,,1000,480
