ItemID,ItemName,ItemType,Grade,Description,MaxStack,SellPrice,IsDroppable,IsEquippable
1001,나무,Material,Common,기본 건축 재료,999,1,true,false
1002,돌,Material,Common,기본 건축 재료,999,1,true,false
1003,철광석,Material,Common,철을 제련하는 원료,999,2,true,false
1004,철,Material,Uncommon,정제된 철 소재,999,5,true,false
1005,수정,Material,Rare,마법 재료,99,20,true,false
1006,마법석,Material,Epic,희귀한 마법 원석,99,50,true,false
1007,골드,Currency,Common,기본 화폐,99999,0,false,false
1008,체력 물약,Consumable,Common,HP를 50 회복,99,10,true,false
1009,마나 물약,Consumable,Common,MP를 30 회복,99,10,true,false
1010,상급 체력 물약,Consumable,Uncommon,HP를 150 회복,99,30,true,false
1011,잡초,Material,Common,채집으로 얻는 식물 재료,999,1,true,false
1012,피라미,Material,Common,낚시로 잡히는 작은 물고기,99,3,true,false
2001,기본 검,Equipment,Common,평범한 검 (ATK +5),1,30,true,true
2002,강화 검,Equipment,Uncommon,강화된 검 (ATK +15),1,100,true,true
2003,마법 검,Equipment,Rare,마법이 깃든 검 (ATK +30),1,300,true,true
2004,전설의 검,Equipment,Epic,전설의 검 (ATK +60),1,1000,true,true
2005,기본 갑옷,Equipment,Common,평범한 갑옷 (DEF +5),1,30,true,true
2006,강화 갑옷,Equipment,Uncommon,강화된 갑옷 (DEF +15),1,100,true,true
2007,마법 갑옷,Equipment,Rare,마법이 깃든 갑옷 (DEF +30),1,300,true,true
2008,전설의 갑옷,Equipment,Epic,전설의 갑옷 (DEF +60),1,1000,true,true
